feature,gain,total_gain,split_count,target,fold_id
status_lag_1,31.16019058227539,7416.12548828125,238.0,ev1_status,D
status_lag_1_is_pad,0.0,0.0,0.0,ev1_status,D
status_lag_2,39.69160079956055,277.8412170410156,7.0,ev1_status,D
status_lag_2_is_pad,0.0,0.0,0.0,ev1_status,D
status_lag_4,12.36141300201416,754.0462036132812,61.0,ev1_status,D
status_lag_4_is_pad,0.0,0.0,0.0,ev1_status,D
status_lag_8,0.0,0.0,0.0,ev1_status,D
status_lag_8_is_pad,0.0,0.0,0.0,ev1_status,D
start1_earliest,0.0,0.0,0.0,ev1_status,D
end1_latest,0.0,0.0,0.0,ev1_status,D
start2_earliest,0.0,0.0,0.0,ev1_status,D
end2_latest,0.0,0.0,0.0,ev1_status,D
max_commute_steps_1,0.0,0.0,0.0,ev1_status,D
max_commute_steps_2,0.0,0.0,0.0,ev1_status,D
steps_to_start1_earliest,0.0,0.0,0.0,ev1_status,D
steps_to_end1_latest,0.0,0.0,0.0,ev1_status,D
steps_to_start2_earliest,0.0,0.0,0.0,ev1_status,D
steps_to_end2_latest,0.0,0.0,0.0,ev1_status,D
start1,0.738997757434845,373.932861328125,506.0,ev1_status,D
end1,0.8476429581642151,360.2482604980469,425.0,ev1_status,D
start2,11.769373893737793,2754.033447265625,234.0,ev1_status,D
end2,0.0,0.0,0.0,ev1_status,D
start1_observed,0.0,0.0,0.0,ev1_status,D
end1_observed,0.0,0.0,0.0,ev1_status,D
start2_observed,0.0,0.0,0.0,ev1_status,D
end2_observed,0.0,0.0,0.0,ev1_status,D
observed_window_length_1,0.6445492506027222,81.85775756835938,127.0,ev1_status,D
observed_window_length_2,0.0,0.0,0.0,ev1_status,D
window_length_slack_1,1.1720103025436401,148.84530639648438,127.0,ev1_status,D
window_length_slack_2,0.0,0.0,0.0,ev1_status,D
timestep,11.705462455749512,8861.03515625,757.0,ev1_status,E
status,1431.7032470703125,310679.59375,217.0,ev1_status,E
time_sin,0.7813823223114014,268.0141296386719,343.0,ev1_status,E
time_cos,14.137245178222656,6997.9365234375,495.0,ev1_status,E
steps_in_current_state,33.304962158203125,28076.08203125,843.0,ev1_status,E
phase_id,12.9353609085083,2664.684326171875,206.0,ev1_status,E
status_lag_1,32.73674774169922,7594.92529296875,232.0,ev1_status,E
status_lag_1_is_pad,0.0,0.0,0.0,ev1_status,E
status_lag_2,23.185440063476562,255.0398406982422,11.0,ev1_status,E
status_lag_2_is_pad,0.0,0.0,0.0,ev1_status,E
status_lag_4,15.489303588867188,851.9116821289062,55.0,ev1_status,E
status_lag_4_is_pad,0.0,0.0,0.0,ev1_status,E
status_lag_8,0.0,0.0,0.0,ev1_status,E
status_lag_8_is_pad,0.0,0.0,0.0,ev1_status,E
start1_earliest,0.0,0.0,0.0,ev1_status,E
end1_latest,0.0,0.0,0.0,ev1_status,E
start2_earliest,0.0,0.0,0.0,ev1_status,E
end2_latest,0.0,0.0,0.0,ev1_status,E
max_commute_steps_1,0.0,0.0,0.0,ev1_status,E
max_commute_steps_2,0.0,0.0,0.0,ev1_status,E
steps_to_start1_earliest,0.0,0.0,0.0,ev1_status,E
