feature,importance,target,fold_id
timestep,0.009781279427825319,base_load,A
base_load,0.6023036994603622,base_load,A
n_evs_at_home,0.0014380437776555035,base_load,A
time_sin,0.011799271749578054,base_load,A
time_cos,0.011484622565239692,base_load,A
base_load_lag_1,0.019588579201241286,base_load,A
base_load_lag_1_is_pad,1.2473616213365555e-06,base_load,A
base_load_lag_2,0.006264522084990333,base_load,A
base_load_lag_2_is_pad,7.610537899257542e-07,base_load,A
base_load_lag_4,0.009532527199565934,base_load,A
base_load_lag_4_is_pad,4.744377547428434e-05,base_load,A
base_load_lag_8,0.012306725846822847,base_load,A
base_load_lag_8_is_pad,1.5863833783510188e-05,base_load,A
base_load_lag_12,0.01069261933094325,base_load,A
base_load_lag_12_is_pad,2.3374343908129378e-05,base_load,A
base_load_ma_2,0.1685926588800688,base_load,A
base_load_ma_4,0.03987152448391711,base_load,A
base_load_ma_8,0.020147539814264988,base_load,A
base_load_ma_16,0.014370751489493298,base_load,A
base_load_std_4,0.011108263069022387,base_load,A
base_load_std_8,0.01061680910345062,base_load,A
base_load_delta_1,0.014247216340702869,base_load,A
base_load_delta_2,0.010959855390370908,base_load,A
base_load_accel,0.014804800415907343,base_load,A
timestep,0.010252652776748182,base_load,B
base_load,0.601339743551334,base_load,B
n_evs_at_home,0.001347285673029939,base_load,B
time_sin,0.013545081363915613,base_load,B
time_cos,0.010610777677547836,base_load,B
base_load_lag_1,0.012386982380927086,base_load,B
base_load_lag_1_is_pad,5.4436181483386624e-06,base_load,B
base_load_lag_2,0.006587955448650585,base_load,B
base_load_lag_2_is_pad,8.655734061007824e-07,base_load,B
base_load_lag_4,0.010794032957928213,base_load,B
base_load_lag_4_is_pad,2.8663941031778855e-06,base_load,B
base_load_lag_8,0.012060252368729424,base_load,B
base_load_lag_8_is_pad,8.345305199915037e-06,base_load,B
base_load_lag_12,0.008847918253667281,base_load,B
base_load_lag_12_is_pad,1.1863496830108766e-05,base_load,B
base_load_ma_2,0.17220399739610948,base_load,B
base_load_ma_4,0.05160839314034557,base_load,B
base_load_ma_8,0.020811758420932566,base_load,B
base_load_ma_16,0.01288769518113918,base_load,B
base_load_std_4,0.007660247191853682,base_load,B
base_load_std_8,0.008663660543784297,base_load,B
base_load_delta_1,0.013440231361933393,base_load,B
base_load_delta_2,0.009420643154430032,base_load,B
base_load_accel,0.01550130676930602,base_load,B
timestep,0.010610004321927071,base_load,C
base_load,0.6049883967181986,base_load,C
n_evs_at_home,0.0017152336920954379,base_load,C
time_sin,0.013124386026943111,base_load,C
time_cos,0.011652070612462914,base_load,C
base_load_lag_1,0.00974498200308841,base_load,C
base_load_lag_1_is_pad,2.2114438407368093e-06,base_load,C
base_load_lag_2,0.0065583047439920425,base_load,C
base_load_lag_2_is_pad,1.1488347951746428e-06,base_load,C
base_load_lag_4,0.00974062261953254,base_load,C
base_load_lag_4_is_pad,0.00010297587527574713,base_load,C
base_load_lag_8,0.013460348421829393,base_load,C
base_load_lag_8_is_pad,5.644364355549613e-06,base_load,C
base_load_lag_12,0.008415295118246941,base_load,C
base_load_lag_12_is_pad,1.943125722094086e-05,base_load,C
base_load_ma_2,0.15465901004610538,base_load,C
base_load_ma_4,0.043300256294407466,base_load,C
base_load_ma_8,0.038354476915597485,base_load,C
base_load_ma_16,0.012011773389671685,base_load,C
base_load_std_4,0.010351113123298833,base_load,C
base_load_std_8,0.009989524313071827,base_load,C
base_load_delta_1,0.01350351338422027,base_load,C
base_load_delta_2,0.011067137699798328,base_load,C
base_load_accel,0.016622138780024043,base_load,C
timestep,0.009109822867116016,base_load,D
base_load,0.5867340345870482,base_load,D
n_evs_at_home,0.001871407591130883,base_load,D
time_sin,0.010175300953272097,base_load,D
time_cos,0.011678153172946742,base_load,D
base_load_lag_1,0.010947082279739815,base_load,D
base_load_lag_1_is_pad,4.176203169219673e-06,base_load,D
base_load_lag_2,0.009742222839766258,base_load,D
base_load_lag_2_is_pad,2.4176331111539862e-06,base_load,D
base_load_lag_4,0.01795198923621856,base_load,D
base_load_lag_4_is_pad,0.00012246667366917944,base_load,D
base_load_lag_8,0.01056377884985363,base_load,D
base_load_lag_8_is_pad,3.654006521982772e-05,base_load,D
base_load_lag_12,0.008338935634735206,base_load,D
base_load_lag_12_is_pad,5.7961655139327644e-05,base_load,D
base_load_ma_2,0.1578105587499692,base_load,D
base_load_ma_4,0.05286236866276266,base_load,D
base_load_ma_8,0.0203635458357705,base_load,D
base_load_ma_16,0.010103214995709575,base_load,D
base_load_std_4,0.011381445118300576,base_load,D
base_load_std_8,0.010570776596387752,base_load,D
base_load_delta_1,0.020456373168114286,base_load,D
base_load_delta_2,0.01875686147260958,base_load,D
base_load_accel,0.020358565158239913,base_load,D
timestep,0.011564480217174315,base_load,E
base_load,0.5963553699136143,base_load,E
n_evs_at_home,0.0011637507704847713,base_load,E
time_sin,0.013455027293002448,base_load,E
time_cos,0.012490441214868852,base_load,E
base_load_lag_1,0.013029274328708602,base_load,E
base_load_lag_1_is_pad,6.205478827430568e-07,base_load,E
base_load_lag_2,0.006728311683450303,base_load,E
base_load_lag_2_is_pad,3.555766506082428e-06,base_load,E
base_load_lag_4,0.010643525660672299,base_load,E
