target,feature,mean_importance,std_importance,min_importance,max_importance,nonzero_fold_count
base_load,base_load,0.5983442488461115,0.007203257131176067,0.5867340345870482,0.6049883967181986,5
base_load,base_load_ma_2,0.16423421378219039,0.007565297252854234,0.15465901004610538,0.17220399739610948,5
base_load,base_load_ma_4,0.0472131818739836,0.0055205674708805365,0.03987152448391711,0.05286236866276266,5
base_load,base_load_ma_8,0.023968850081030297,0.008046252524513723,0.020147539814264988,0.038354476915597485,5
base_load,base_load_accel,0.01636471071140381,0.0023736784257309407,0.014536742433541711,0.020358565158239913,5
base_load,base_load_delta_1,0.015512366492529881,0.002938313786912351,0.013440231361933393,0.020456373168114286,5
base_load,base_load_lag_1,0.013139380038741039,0.0038242156983172293,0.00974498200308841,0.019588579201241286,5
base_load,base_load_ma_16,0.012519548645166407,0.0015933984001161156,0.010103214995709575,0.014370751489493298,5
base_load,time_sin,0.012419813477342265,0.001436769505256709,0.010175300953272097,0.013545081363915613,5
base_load,base_load_lag_8,0.012349035566738822,0.001174461853735052,0.01056377884985363,0.013460348421829393,5
base_load,base_load_delta_2,0.012155448709946576,0.003747553352800985,0.009420643154430032,0.01875686147260958,5
base_load,base_load_lag_4,0.01173253953478351,0.00351980424433875,0.009532527199565934,0.01795198923621856,5
base_load,time_cos,0.011583213048613207,0.0006693595019244576,0.010610777677547836,0.012490441214868852,5
base_load,timestep,0.01026364792215818,0.0009187273712326749,0.009109822867116016,0.011564480217174315,5
base_load,base_load_std_4,0.010235684672013528,0.001492936247266585,0.007660247191853682,0.011381445118300576,5
base_load,base_load_std_8,0.010038271435620168,0.000807424878940142,0.008663660543784297,0.01061680910345062,5
base_load,base_load_lag_12,0.009130870773727857,0.000963151196318187,0.008338935634735206,0.01069261933094325,5
base_load,base_load_lag_2,0.007176263360169905,0.0014443043272227157,0.006264522084990333,0.009742222839766258,5
base_load,n_evs_at_home,0.001507144300879307,0.000284709377825052,0.0011637507704847713,0.001871407591130883,5
base_load,base_load_lag_4_is_pad,6.380579025794929e-05,4.842050976893983e-05,2.8663941031778855e-06,0.00012246667366917944,5
base_load,base_load_lag_12_is_pad,2.8513287036433155e-05,1.7715368381394117e-05,1.1863496830108766e-05,5.7961655139327644e-05,5
base_load,base_load_lag_8_is_pad,1.4758042301292882e-05,1.278721842797991e-05,5.644364355549613e-06,3.654006521982772e-05,5
base_load,base_load_lag_1_is_pad,2.7398349324749514e-06,2.0230947036264394e-06,6.205478827430568e-07,5.4436181483386624e-06,5
base_load,base_load_lag_2_is_pad,1.7497723216875187e-06,1.2070781868131327e-06,7.610537899257542e-07,3.555766506082428e-06,5
